7.7555 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
124.5144 	EXP 	fixation: autoDraw = False
125.4580 	EXP 	New trial (rep=2, index=0): None
125.4768 	EXP 	fixation: autoDraw = False
125.4768 	EXP 	pres_text: autoDraw = False
125.4768 	EXP 	pres_text: text = '9'
125.4768 	EXP 	fixation: autoDraw = True
126.4616 	EXP 	pres_text: autoDraw = True
126.4925 	EXP 	fixation: autoDraw = False
127.4651 	EXP 	New trial (rep=3, index=0): None
127.4780 	EXP 	fixation: autoDraw = False
127.4780 	EXP 	pres_text: autoDraw = False
127.4780 	EXP 	pres_text: text = '3'
127.4780 	EXP 	fixation: autoDraw = True
128.4911 	EXP 	fixation: autoDraw = False
128.4911 	EXP 	pres_text: autoDraw = True
129.4582 	EXP 	New trial (rep=4, index=0): None
129.4797 	EXP 	fixation: autoDraw = False
129.4797 	EXP 	pres_text: autoDraw = False
129.4797 	EXP 	pres_text: text = '2'
129.4797 	EXP 	fixation: autoDraw = True
130.4568 	EXP 	pres_text: autoDraw = True
130.4990 	EXP 	fixation: autoDraw = False
131.4883 	EXP 	fixation: autoDraw = False
131.4883 	EXP 	pres_text: autoDraw = False
131.4883 	EXP 	recall_txt: autoDraw = True
131.4883 	EXP 	textbox: autoDraw = True
131.4883 	EXP 	cont_button: autoDraw = True
131.9854 	DATA 	Keypress: 2
132.1238 	DATA 	Keypress: 3
132.3392 	DATA 	Keypress: 1
132.7074 	DATA 	Keypress: 2
132.9984 	DATA 	Keypress: 3
133.5688 	DATA 	Mouse: Left button down, pos=(996,92)
133.6186 	EXP 	recall_txt: autoDraw = False
133.6186 	EXP 	textbox: autoDraw = False
133.6186 	EXP 	cont_button: autoDraw = False
133.6186 	EXP 	feedback_text: text = 'Incorrect'
133.6186 	EXP 	feedback_text: autoDraw = True
133.6944 	DATA 	Mouse:  Left button up, pos=(996,92)
134.5961 	EXP 	New trial (rep=0, index=1): {'digitSpan': 5, 'digits': 10646}
134.5969 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
134.5973 	EXP 	New trial (rep=0, index=0): None
134.6085 	EXP 	feedback_text: autoDraw = False
134.6085 	EXP 	pres_text: text = '1'
134.6085 	EXP 	fixation: autoDraw = True
135.6063 	EXP 	pres_text: autoDraw = True
135.6213 	EXP 	fixation: autoDraw = False
136.6084 	EXP 	New trial (rep=1, index=0): None
136.6229 	EXP 	fixation: autoDraw = False
136.6229 	EXP 	pres_text: autoDraw = False
136.6229 	EXP 	pres_text: text = '0'
136.6229 	EXP 	fixation: autoDraw = True
137.6071 	EXP 	pres_text: autoDraw = True
137.6180 	EXP 	fixation: autoDraw = False
138.5964 	EXP 	New trial (rep=2, index=0): None
138.6174 	EXP 	fixation: autoDraw = False
138.6174 	EXP 	pres_text: autoDraw = False
138.6174 	EXP 	pres_text: text = '6'
138.6174 	EXP 	fixation: autoDraw = True
139.6160 	EXP 	pres_text: autoDraw = True
139.6366 	EXP 	fixation: autoDraw = False
140.6020 	EXP 	New trial (rep=3, index=0): None
140.6286 	EXP 	fixation: autoDraw = False
140.6286 	EXP 	pres_text: autoDraw = False
140.6286 	EXP 	pres_text: text = '4'
140.6286 	EXP 	fixation: autoDraw = True
141.6015 	EXP 	pres_text: autoDraw = True
141.6509 	EXP 	fixation: autoDraw = False
142.5952 	EXP 	New trial (rep=4, index=0): None
142.6195 	EXP 	pres_text: autoDraw = False
142.6195 	EXP 	fixation: autoDraw = False
142.6195 	EXP 	pres_text: autoDraw = False
142.6195 	EXP 	pres_text: text = '6'
142.6195 	EXP 	fixation: autoDraw = True
143.6142 	EXP 	pres_text: autoDraw = True
143.6297 	EXP 	fixation: autoDraw = False
144.6340 	EXP 	fixation: autoDraw = False
144.6340 	EXP 	pres_text: autoDraw = False
144.6340 	EXP 	recall_txt: autoDraw = True
144.6340 	EXP 	textbox: autoDraw = True
144.6340 	EXP 	cont_button: autoDraw = True
147.0041 	DATA 	Keypress: 2
147.1703 	DATA 	Keypress: 3
147.4042 	DATA 	Keypress: 4
147.7529 	DATA 	Keypress: 3
147.9994 	DATA 	Keypress: 2
148.6329 	DATA 	Mouse: Left button down, pos=(996,92)
148.6748 	EXP 	recall_txt: autoDraw = False
148.6748 	EXP 	textbox: autoDraw = False
148.6748 	EXP 	cont_button: autoDraw = False
148.6748 	EXP 	feedback_text: text = 'Incorrect'
148.6748 	EXP 	feedback_text: autoDraw = True
148.7894 	DATA 	Mouse:  Left button up, pos=(996,92)
149.6656 	EXP 	New trial (rep=0, index=2): {'digitSpan': 5, 'digits': 74832}
149.6665 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
149.6668 	EXP 	New trial (rep=0, index=0): None
149.6810 	EXP 	feedback_text: autoDraw = False
149.6810 	EXP 	pres_text: text = '7'
149.6810 	EXP 	fixation: autoDraw = True
150.6762 	EXP 	pres_text: autoDraw = True
150.6957 	EXP 	fixation: autoDraw = False
151.6715 	EXP 	New trial (rep=1, index=0): None
151.6881 	EXP 	fixation: autoDraw = False
151.6881 	EXP 	pres_text: autoDraw = False
151.6881 	EXP 	pres_text: text = '4'
151.6881 	EXP 	fixation: autoDraw = True
