key_resp.keys,key_resp.rt,correct,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.time,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,reward_green,reward_blue,green_pos,pg,pb,corrAns,corrAmount,cash_green,cash_blue,cash_corr,cash_size,cashsize_h,cashsize_v,auditory_stim_green_path,auditory_stim_blue_path,audio_corr,ITI,ITI_s,participant,age,gender,years of education,date,expName,psychopyVersion,OS,frameRate,outerLoop.thisRepN,outerLoop.thisTrialN,outerLoop.thisN,outerLoop.thisIndex,outerLoop.ran,thisCond
,,0,[0.4085812796429603],[-0.10777012335684708],[1],[0],[0],[1.7095599999884143],"[""blue""]",0,54,54,54,1,74,26,left,-0.4,0.4,images/green_box.png,74,Reward4.png,Reward2.png,Rewardnull.png,0,0,0,auditory_stim/coin4.wav,auditory_stim/coin2.wav,auditory_stim/silence_short.wav,892,0.9,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[0.4283079549968702],[-0.11015472647221687],[1],[0],[0],[1.4100449999968987],"[""green""]",0,55,55,55,1,42,58,right,0.4,-0.4,images/blue_box.png,58,Reward3.png,Reward3.png,Rewardnull.png,0,0,0,auditory_stim/coin3.wav,auditory_stim/coin3.wav,auditory_stim/silence_short.wav,944,0.9,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[0.4318946403421129],[-0.12327004360675077],[1],[0],[0],[0.4793249999929685],"[""green""]",0,56,56,56,1,61,39,right,0.4,-0.4,images/blue_box.png,39,Reward4.png,Reward2.png,Rewardnull.png,0,0,0,auditory_stim/coin4.wav,auditory_stim/coin2.wav,auditory_stim/silence_short.wav,779,0.8,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.42711236186681434],[-0.08928949623519357],[1],[0],[0],[1.4043950000050245],"[""blue""]",0,57,57,57,1,41,59,left,-0.4,0.4,images/blue_box.png,59,Reward3.png,Reward3.png,Rewardnull.png,0,0,0,auditory_stim/coin3.wav,auditory_stim/coin3.wav,auditory_stim/silence_short.wav,1188,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[-0.3709213186302244],[0.015036890062235169],[1],[0],[0],[1.4440150000009453],"[""green""]",0,58,58,58,1,99,1,left,-0.4,0.4,images/blue_box.png,1,Reward5.png,Reward1.png,Rewardnull.png,0,0,0,auditory_stim/coin5.wav,auditory_stim/coin1.wav,auditory_stim/silence_short.wav,1162,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[-0.3852679659662702],[-0.020136005889469375],[1],[0],[0],[2.1290900000021793],"[""blue""]",0,59,59,59,1,4,96,right,0.4,-0.4,images/blue_box.png,96,Reward1.png,Reward5.png,Rewardnull.png,0,0,0,auditory_stim/coin1.wav,auditory_stim/coin5.wav,auditory_stim/silence_short.wav,1244,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.4247212696516275],[-0.11730853581832627],[1],[0],[0],[4.2595799999980954],"[""blue""]",0,60,60,60,1,15,85,left,-0.4,0.4,images/blue_box.png,85,Reward1.png,Reward5.png,Rewardnull.png,0,0,0,auditory_stim/coin1.wav,auditory_stim/coin5.wav,auditory_stim/silence_short.wav,1205,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[-0.34043463426304893],[0.009671533052653121],[1],[0],[0],[2.1628300000011222],"[""blue""]",0,61,61,61,1,1,99,right,0.4,-0.4,images/blue_box.png,99,Reward1.png,Reward5.png,Rewardnull.png,0,0,0,auditory_stim/coin1.wav,auditory_stim/coin5.wav,auditory_stim/silence_short.wav,823,0.8,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[-0.3948324288719424],[0.026363754860241718],[1],[0],[0],[1.630749999996624],"[""green""]",0,62,62,62,1,70,30,left,-0.4,0.4,images/blue_box.png,30,Reward4.png,Reward2.png,Rewardnull.png,0,0,0,auditory_stim/coin4.wav,auditory_stim/coin2.wav,auditory_stim/silence_short.wav,911,0.9,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.41934133567868837],[-0.06842421897570782],[1],[0],[0],[0.7616600000037579],"[""blue""]",0,63,63,63,1,14,86,left,-0.4,0.4,images/blue_box.png,86,Reward1.png,Reward5.png,Rewardnull.png,0,0,0,auditory_stim/coin1.wav,auditory_stim/coin5.wav,auditory_stim/silence_short.wav,895,0.9,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
